stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed,crisis,configuration,is_recovery,auc_full_window,auc_first30,auc_rest,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
h20_d07,HarRvThreshold,1,2229,253,0.5242407355809418,0.2299285571384486,0.19218314678639548,0.17397320161767732,0.16171510280280088,0.30735930735930733,0.23943661971830985,1.429324025221415,1.1344366767771723,71,37,231,46,crisis_2020,spx_full,False,0.5242407355809418,0.10344827586206896,0.3487694300518135,1574,,0.05337018929775342,0.23045948485542084
h20_d07,LogisticRegressionL2,1,2229,253,,,,,0.8245472244223646,,,,,0,0,0,42,crisis_2020,spx_full,False,,,,1574,,0.26404187526844053,0.7650170166179129
h20_d07,LogisticRegressionL2,1,2229,253,,,,,0.8245472244223646,,,,,0,0,0,43,crisis_2020,spx_full,False,,,,1574,,0.26404187526844053,0.7650170166179129
h20_d07,LogisticRegressionL2,1,2229,253,,,,,0.8245472244223646,,,,,0,0,0,44,crisis_2020,spx_full,False,,,,1574,,0.26404187526844053,0.7650170166179129
h20_d07,LogisticRegressionL2,1,2229,253,,,,,0.8245472244223646,,,,,0,0,0,45,crisis_2020,spx_full,False,,,,1574,,0.26404187526844053,0.7650170166179129
h20_d07,LogisticRegressionL2,1,2229,253,,,,,0.8245472244223646,,,,,0,0,0,46,crisis_2020,spx_full,False,,,,1574,,0.26404187526844053,0.7650170166179129
h20_d07,LightGbmTuned,1,2229,253,,,,,0.6023684568852207,,,,,0,0,0,42,crisis_2020,spx_full,False,,,,1574,50.0,0.45545616344360945,0.6023684568852207
h20_d07,LightGbmTuned,1,2229,253,,,,,0.6023684568852207,,,,,0,0,0,43,crisis_2020,spx_full,False,,,,1574,50.0,0.45545616344360945,0.6023684568852207
h20_d07,LightGbmTuned,1,2229,253,,,,,0.6023684568852207,,,,,0,0,0,44,crisis_2020,spx_full,False,,,,1574,50.0,0.45545616344360945,0.6023684568852207
h20_d07,LightGbmTuned,1,2229,253,,,,,0.6023684568852207,,,,,0,0,0,45,crisis_2020,spx_full,False,,,,1574,50.0,0.45545616344360945,0.6023684568852207
h20_d07,LightGbmTuned,1,2229,253,,,,,0.6023684568852207,,,,,0,0,0,46,crisis_2020,spx_full,False,,,,1574,50.0,0.45545616344360945,0.6023684568852207
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,42,crisis_2020,spx_crisis_2008,False,0.5,,0.5,2209,,0.07469443186962428,0.07469443186962427
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,43,crisis_2020,spx_crisis_2008,False,0.5,,0.5,2209,,0.07469443186962428,0.07469443186962427
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,44,crisis_2020,spx_crisis_2008,False,0.5,,0.5,2209,,0.07469443186962428,0.07469443186962427
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,45,crisis_2020,spx_crisis_2008,False,0.5,,0.5,2209,,0.07469443186962428,0.07469443186962427
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,46,crisis_2020,spx_crisis_2008,False,0.5,,0.5,2209,,0.07469443186962428,0.07469443186962427
h5_d03,VIXPercentileRaw,1,2229,253,0.6788652889399158,0.379568304924152,0.6367531868278612,0.6746923858516112,0.9500224315836698,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,253,42,crisis_2020,spx_crisis_2008,False,0.6788652889399158,,0.6283738191632928,2209,,0.345261807756149,0.8564961521050249
h5_d03,VIXPercentileRaw,1,2229,253,0.6788652889399158,0.379568304924152,0.6367531868278612,0.6746923858516112,0.9500224315836698,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,253,43,crisis_2020,spx_crisis_2008,False,0.6788652889399158,,0.6283738191632928,2209,,0.345261807756149,0.8564961521050249
