stress_def,outer_fold,params,fold0_pr_auc,fold1_pr_auc,fold2_pr_auc,mean_score
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.017543859649122806,0.16743200535993863,0.07377983379089927
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.01639344262295082,0.17954032136745618,0.07743246678468112
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.01639344262295082,0.18417826329553416,0.07897844742737378
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.01639344262295082,0.19940134342783464,0.08405280747147394
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.017543859649122806,0.16743200535993863,0.07377983379089927
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.01639344262295082,0.17954032136745618,0.07743246678468112
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.01639344262295082,0.18417826329553416,0.07897844742737378
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.01639344262295082,0.19940134342783464,0.08405280747147394
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.017543859649122806,0.14848484848484847,0.06746411483253588
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.0196078431372549,0.17152560083594565,0.07583236011227897
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.0196078431372549,0.17152560083594565,0.07583236011227897
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.02,0.17152560083594565,0.07596307906652734
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.017543859649122806,0.14688057040998218,0.06692935547424711
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.0196078431372549,0.17152560083594565,0.07583236011227897
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.0196078431372549,0.17152560083594565,0.07583236011227897
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.02,0.17152560083594565,0.07596307906652734
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.017543859649122806,0.14688057040998218,0.06692935547424711
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.0196078431372549,0.17152560083594565,0.07583236011227897
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.0196078431372549,0.17152560083594565,0.07583236011227897
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.02,0.17152560083594565,0.07596307906652734
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.026550366574866265,0.013888888888888888,0.183503784661285,0.07464768004168006
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.038834951456310676,0.018518518518518517,0.18357005897328477,0.08030784298270466
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03773584905660377,0.014925373134328358,0.17581696707949812,0.07615939642347676
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03773584905660377,0.022222222222222223,0.18399256749924156,0.08131687959268918
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.026432205166382276,0.0136986301369863,0.18884945709216452,0.07632676413184437
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.038834951456310676,0.018518518518518517,0.18357005897328477,0.08030784298270466
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03773584905660377,0.014925373134328358,0.17448770344343598,0.07571630854478938
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03773584905660377,0.022222222222222223,0.18399256749924156,0.08131687959268918
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.026432205166382276,0.0136986301369863,0.18884945709216452,0.07632676413184437
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.038834951456310676,0.018518518518518517,0.18357005897328477,0.08030784298270466
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03773584905660377,0.014925373134328358,0.17448770344343598,0.07571630854478938
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03773584905660377,0.022222222222222223,0.18399256749924156,0.08131687959268918
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.028461448610997593,0.013157894736842105,0.10609047660306731,0.049236606650302335
