ablation,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_folds_paired,effect_size_category,interpretation
frozen_model,LogisticRegressionL2,alarm_rate,-0.0049197560461491,-0.0202169459868383,0.0099569080664596,0.7734158419936381,90,small,expected_effect
frozen_model,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,1.0,110,negligible,no_effect_by_construction
frozen_model,VIXPercentileCalibrated,alarm_rate,-0.0022056555569134,-0.0039102373844067,-0.0007274589567656,0.003991514414328,110,small,expected_effect
frozen_model,VIXPercentileRaw,alarm_rate,-0.0003607503607503,-0.0007215007215007,-7.215007215005472e-05,0.0554902819565989,110,negligible,expected_effect
frozen_model,HarRvThreshold,calm_period_alarm_rate,-0.0023809523809523,-0.0038095238095238,-0.0011111111111111,0.003991514414328,60,small,expected_effect
frozen_model,LightGbmTuned,calm_period_alarm_rate,0.0390870728972498,0.0227466020914052,0.0555035586277521,0.0001142410578907,45,medium,expected_effect
frozen_model,LogisticRegressionL2,calm_period_alarm_rate,0.0195139075357515,-0.0032983144042478,0.0416672416754357,0.0368722856301109,45,medium,expected_effect
frozen_model,NaiveBaseRate,calm_period_alarm_rate,0.0,0.0,0.0,1.0,50,negligible,no_effect_by_construction
frozen_model,VIXPercentileCalibrated,calm_period_alarm_rate,0.0,0.0,0.0,1.0,50,negligible,no_effect_by_construction
frozen_model,VIXPercentileRaw,calm_period_alarm_rate,0.0,0.0,0.0,1.0,50,negligible,no_effect_by_construction
