crisis,configuration,stress_def,model,seed,n_train,n_test,auc,auc_full_window,auc_first30,auc_rest,pr_auc,brier,ece,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
crisis_2008,spx_crisis_2008,h10_d05,LightGbmTuned,44,251,505,0.40625410589935623,0.40625410589935623,0.42500000000000004,0.410535876475931,0.23228233811849613,0.23923150298137497,0.23863312103754308,0.0,,,,0,118,231,50.0,0.4856856377689819,0.5824544430334777
crisis_2008,spx_crisis_2008,h10_d05,LightGbmTuned,45,251,505,0.40625410589935623,0.40625410589935623,0.42500000000000004,0.410535876475931,0.23228233811849613,0.23923150298137497,0.23863312103754308,0.0,,,,0,118,231,50.0,0.4856856377689819,0.5824544430334777
crisis_2008,spx_crisis_2008,h10_d05,LightGbmTuned,46,251,505,0.40625410589935623,0.40625410589935623,0.42500000000000004,0.410535876475931,0.23228233811849613,0.23923150298137497,0.23863312103754308,0.0,,,,0,118,231,50.0,0.4856856377689819,0.5824544430334777
crisis_2008,spx_crisis_2008,h20_d07,NaiveBaseRate,42,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.22738416379057944,0.1696816693621554,0.0,,,,0,138,231,,0.11255411255411257,0.11255411255411256
crisis_2008,spx_crisis_2008,h20_d07,NaiveBaseRate,43,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.22738416379057944,0.1696816693621554,0.0,,,,0,138,231,,0.11255411255411257,0.11255411255411256
crisis_2008,spx_crisis_2008,h20_d07,NaiveBaseRate,44,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.22738416379057944,0.1696816693621554,0.0,,,,0,138,231,,0.11255411255411257,0.11255411255411256
crisis_2008,spx_crisis_2008,h20_d07,NaiveBaseRate,45,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.22738416379057944,0.1696816693621554,0.0,,,,0,138,231,,0.11255411255411257,0.11255411255411256
crisis_2008,spx_crisis_2008,h20_d07,NaiveBaseRate,46,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.22738416379057944,0.1696816693621554,0.0,,,,0,138,231,,0.11255411255411257,0.11255411255411256
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileRaw,42,251,505,0.6433084547644433,0.6433084547644433,0.034722222222222224,0.6573902288188003,0.4244804089933577,0.576965099249564,0.6141453986036054,0.4772277227722772,0.3775933609958506,1.2926953347713566,1.1255185314166671,241,138,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileRaw,43,251,505,0.6433084547644433,0.6433084547644433,0.034722222222222224,0.6573902288188003,0.4244804089933577,0.576965099249564,0.6141453986036054,0.4772277227722772,0.3775933609958506,1.2926953347713566,1.1255185314166671,241,138,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileRaw,44,251,505,0.6433084547644433,0.6433084547644433,0.034722222222222224,0.6573902288188003,0.4244804089933577,0.576965099249564,0.6141453986036054,0.4772277227722772,0.3775933609958506,1.2926953347713566,1.1255185314166671,241,138,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileRaw,45,251,505,0.6433084547644433,0.6433084547644433,0.034722222222222224,0.6573902288188003,0.4244804089933577,0.576965099249564,0.6141453986036054,0.4772277227722772,0.3775933609958506,1.2926953347713566,1.1255185314166671,241,138,231,,0.7411255411255411,1.0
