corruption_type,rate,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_pairs
stale_quotes,0.01,LogisticRegressionL2,pr_auc,0.0,0.0,0.0,1.0,225
stale_quotes,0.05,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,450
stale_quotes,0.05,LightGbmTuned,auc,0.0,0.0,0.0,1.0,225
stale_quotes,0.05,LightGbmTuned,brier,0.0,0.0,0.0,1.0,450
stale_quotes,0.05,LightGbmTuned,drawdown_lift,0.0,0.0,0.0,1.0,300
stale_quotes,0.05,LightGbmTuned,pr_auc,0.0,0.0,0.0,1.0,225
stale_quotes,0.05,LogisticRegressionL2,alarm_rate,0.0,0.0,0.0,1.0,450
stale_quotes,0.05,LogisticRegressionL2,auc,0.0,0.0,0.0,1.0,225
stale_quotes,0.05,LogisticRegressionL2,brier,0.0,0.0,0.0,1.0,450
stale_quotes,0.05,LogisticRegressionL2,drawdown_lift,0.0,0.0,0.0,1.0,360
stale_quotes,0.05,LogisticRegressionL2,pr_auc,0.0,0.0,0.0,1.0,225
stale_quotes,0.1,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,455
stale_quotes,0.1,LightGbmTuned,auc,0.0,0.0,0.0,1.0,235
stale_quotes,0.1,LightGbmTuned,brier,0.0,0.0,0.0,1.0,455
stale_quotes,0.1,LightGbmTuned,drawdown_lift,0.0,0.0,0.0,1.0,330
stale_quotes,0.1,LightGbmTuned,pr_auc,0.0,0.0,0.0,1.0,235
stale_quotes,0.1,LogisticRegressionL2,alarm_rate,0.0,0.0,0.0,1.0,455
stale_quotes,0.1,LogisticRegressionL2,auc,0.0,0.0,0.0,1.0,235
stale_quotes,0.1,LogisticRegressionL2,brier,0.0,0.0,0.0,1.0,455
stale_quotes,0.1,LogisticRegressionL2,drawdown_lift,0.0,0.0,0.0,1.0,370
stale_quotes,0.1,LogisticRegressionL2,pr_auc,0.0,0.0,0.0,1.0,235
