corruption_type,rate,model,metric,n_obs,n_both_valid,n_enabled_only_valid,n_silenced_only_valid,n_both_nan,enabled_valid_rate,silenced_valid_rate,branch_failure_rate
missing_values,0.05,LightGbmTuned,pr_auc,550,0,235,0,315,0.42727272727272725,0.0,0.42727272727272725
missing_values,0.05,LogisticRegressionL2,alarm_rate,550,0,425,0,125,0.7727272727272727,0.0,0.7727272727272727
missing_values,0.05,LogisticRegressionL2,auc,550,0,235,0,315,0.42727272727272725,0.0,0.42727272727272725
missing_values,0.05,LogisticRegressionL2,brier,550,0,425,0,125,0.7727272727272727,0.0,0.7727272727272727
missing_values,0.05,LogisticRegressionL2,drawdown_lift,550,0,290,0,260,0.5272727272727272,0.0,0.5272727272727272
missing_values,0.05,LogisticRegressionL2,pr_auc,550,0,235,0,315,0.42727272727272725,0.0,0.42727272727272725
missing_values,0.1,LightGbmTuned,alarm_rate,550,0,400,0,150,0.7272727272727273,0.0,0.7272727272727273
missing_values,0.1,LightGbmTuned,auc,550,0,220,0,330,0.4,0.0,0.4
missing_values,0.1,LightGbmTuned,brier,550,0,400,0,150,0.7272727272727273,0.0,0.7272727272727273
missing_values,0.1,LightGbmTuned,drawdown_lift,550,0,160,0,390,0.2909090909090909,0.0,0.2909090909090909
missing_values,0.1,LightGbmTuned,pr_auc,550,0,220,0,330,0.4,0.0,0.4
missing_values,0.1,LogisticRegressionL2,alarm_rate,550,0,400,0,150,0.7272727272727273,0.0,0.7272727272727273
missing_values,0.1,LogisticRegressionL2,auc,550,0,220,0,330,0.4,0.0,0.4
missing_values,0.1,LogisticRegressionL2,brier,550,0,400,0,150,0.7272727272727273,0.0,0.7272727272727273
missing_values,0.1,LogisticRegressionL2,drawdown_lift,550,0,240,0,310,0.43636363636363634,0.0,0.43636363636363634
missing_values,0.1,LogisticRegressionL2,pr_auc,550,0,220,0,330,0.4,0.0,0.4
stale_quotes,0.01,LightGbmTuned,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
stale_quotes,0.01,LightGbmTuned,auc,550,225,0,0,325,0.4090909090909091,0.4090909090909091,0.0
stale_quotes,0.01,LightGbmTuned,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
stale_quotes,0.01,LightGbmTuned,drawdown_lift,550,300,0,0,250,0.5454545454545454,0.5454545454545454,0.0
stale_quotes,0.01,LightGbmTuned,pr_auc,550,225,0,0,325,0.4090909090909091,0.4090909090909091,0.0
stale_quotes,0.01,LogisticRegressionL2,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
stale_quotes,0.01,LogisticRegressionL2,auc,550,225,0,0,325,0.4090909090909091,0.4090909090909091,0.0
stale_quotes,0.01,LogisticRegressionL2,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
stale_quotes,0.01,LogisticRegressionL2,drawdown_lift,550,355,0,0,195,0.6454545454545455,0.6454545454545455,0.0
stale_quotes,0.01,LogisticRegressionL2,pr_auc,550,225,0,0,325,0.4090909090909091,0.4090909090909091,0.0
stale_quotes,0.05,LightGbmTuned,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
stale_quotes,0.05,LightGbmTuned,auc,550,225,0,0,325,0.4090909090909091,0.4090909090909091,0.0
stale_quotes,0.05,LightGbmTuned,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
stale_quotes,0.05,LightGbmTuned,drawdown_lift,550,300,0,0,250,0.5454545454545454,0.5454545454545454,0.0
stale_quotes,0.05,LightGbmTuned,pr_auc,550,225,0,0,325,0.4090909090909091,0.4090909090909091,0.0
stale_quotes,0.05,LogisticRegressionL2,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
stale_quotes,0.05,LogisticRegressionL2,auc,550,225,0,0,325,0.4090909090909091,0.4090909090909091,0.0
stale_quotes,0.05,LogisticRegressionL2,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
stale_quotes,0.05,LogisticRegressionL2,drawdown_lift,550,360,0,0,190,0.6545454545454545,0.6545454545454545,0.0
stale_quotes,0.05,LogisticRegressionL2,pr_auc,550,225,0,0,325,0.4090909090909091,0.4090909090909091,0.0
stale_quotes,0.1,LightGbmTuned,alarm_rate,550,455,0,0,95,0.8272727272727273,0.8272727272727273,0.0
stale_quotes,0.1,LightGbmTuned,auc,550,235,0,0,315,0.42727272727272725,0.42727272727272725,0.0
stale_quotes,0.1,LightGbmTuned,brier,550,455,0,0,95,0.8272727272727273,0.8272727272727273,0.0
stale_quotes,0.1,LightGbmTuned,drawdown_lift,550,330,0,0,220,0.6,0.6,0.0
stale_quotes,0.1,LightGbmTuned,pr_auc,550,235,0,0,315,0.42727272727272725,0.42727272727272725,0.0
stale_quotes,0.1,LogisticRegressionL2,alarm_rate,550,455,0,0,95,0.8272727272727273,0.8272727272727273,0.0
stale_quotes,0.1,LogisticRegressionL2,auc,550,235,0,0,315,0.42727272727272725,0.42727272727272725,0.0
stale_quotes,0.1,LogisticRegressionL2,brier,550,455,0,0,95,0.8272727272727273,0.8272727272727273,0.0
stale_quotes,0.1,LogisticRegressionL2,drawdown_lift,550,370,0,0,180,0.6727272727272727,0.6727272727272727,0.0
stale_quotes,0.1,LogisticRegressionL2,pr_auc,550,235,0,0,315,0.42727272727272725,0.42727272727272725,0.0
