corruption_type,rate,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_pairs
extreme_jumps,0.1,LightGbmTuned,brier,0.011103038198652122,0.008205713645774187,0.014025257625189698,2.894471920453878e-13,450
extreme_jumps,0.1,LightGbmTuned,drawdown_lift,-0.2693129670795397,-0.39193484561204817,-0.14832790886856667,0.0015936092028669545,270
extreme_jumps,0.1,LightGbmTuned,alarm_rate,0.0009025106316040094,-0.0028098874518934034,0.004535559990954878,0.50990162795193,450
calendar_gaps,0.01,LogisticRegressionL2,auc,-0.004159799683454177,-0.00969225155556659,0.0015035198990973554,0.08870838270706916,225
calendar_gaps,0.01,LogisticRegressionL2,pr_auc,-0.005562726992248306,-0.010117544823876225,-0.0013371353180471855,0.191230333304913,225
calendar_gaps,0.01,LogisticRegressionL2,brier,0.003852724806786601,0.00221278312239406,0.005611978691191381,0.0021312551604204867,450
calendar_gaps,0.01,LogisticRegressionL2,drawdown_lift,-0.031303799026776644,-0.0615943546154351,-0.0016987258195230736,0.005330760115845507,350
calendar_gaps,0.01,LogisticRegressionL2,alarm_rate,-0.0018329509008550334,-0.0039058138731063877,0.00019958829123522428,0.7719630998956716,450
calendar_gaps,0.01,LightGbmTuned,auc,-0.007147584816641014,-0.015249486481885517,0.0006705214897929541,0.06821422270790606,225
calendar_gaps,0.01,LightGbmTuned,pr_auc,0.007292893581386753,0.0003555752759139048,0.014336139330182466,0.7725721869973807,225
calendar_gaps,0.01,LightGbmTuned,brier,0.0014941900142315695,2.6193259369937577e-05,0.0030524069161719397,0.8272116548846525,450
calendar_gaps,0.01,LightGbmTuned,drawdown_lift,-0.1552065311940499,-0.22772885147109911,-0.08253327117633172,0.02037285383211882,275
calendar_gaps,0.01,LightGbmTuned,alarm_rate,0.0048795671466480865,0.0019997625319285303,0.008178377268764053,0.014058256769664853,450
calendar_gaps,0.05,LogisticRegressionL2,auc,-0.0031843556812008356,-0.014883898069292311,0.008318035527818393,0.37632425950962667,210
