asset,stress_def,drift_metric,operational_metric,spearman_rho,p_value,n_pairs
rut,h10_d05,n_high_drift,alarm_rate_gap_abs,0.3337149051248995,1.2418986062368228e-18,660
rut,h10_d05,n_high_drift,alarm_rate_gap_signed,0.08369852812690617,0.03155903884112996,660
rut,h20_d07,mean_psi,auc,-0.07115698990412293,0.09107024545104521,565
rut,h20_d07,mean_psi,pr_auc,0.3481376379164564,1.529011315525801e-17,565
rut,h20_d07,mean_psi,drawdown_lift,0.03233141089110957,0.6665686423099082,180
rut,h20_d07,mean_psi,alarm_rate,0.07800291390511929,0.04515739318527973,660
rut,h20_d07,mean_psi,alarm_rate_gap_abs,0.16789103492254231,1.4520740463165994e-05,660
rut,h20_d07,mean_psi,alarm_rate_gap_signed,0.07800291390511929,0.04515739318527973,660
rut,h20_d07,max_psi,auc,-0.07288509419345872,0.08346517532678663,565
rut,h20_d07,max_psi,pr_auc,0.19845690135506233,1.992464661544333e-06,565
rut,h20_d07,max_psi,drawdown_lift,0.05690328316835284,0.4480116736717202,180
rut,h20_d07,max_psi,alarm_rate,0.03188032025417936,0.4135424588661394,660
rut,h20_d07,max_psi,alarm_rate_gap_abs,0.08014025367153357,0.03956623131257252,660
rut,h20_d07,max_psi,alarm_rate_gap_signed,0.03188032025417936,0.4135424588661394,660
rut,h20_d07,mean_kl,auc,-0.029882846877668574,0.47839124833649593,565
rut,h20_d07,mean_kl,pr_auc,0.3719489680872235,5.591853763101758e-20,565
rut,h20_d07,mean_kl,drawdown_lift,-0.002586512871288765,0.9725103300514594,180
rut,h20_d07,mean_kl,alarm_rate,0.11411796341611946,0.0033270798839296215,660
rut,h20_d07,mean_kl,alarm_rate_gap_abs,0.17484238294788967,6.239273781647039e-06,660
rut,h20_d07,mean_kl,alarm_rate_gap_signed,0.11411796341611946,0.0033270798839296215,660
rut,h20_d07,max_kl,auc,-0.04652106836871298,0.26961830310834795,565
rut,h20_d07,max_kl,pr_auc,0.120051912817951,0.004268269398096417,565
rut,h20_d07,max_kl,drawdown_lift,0.07526752455450307,0.3152774374993484,180
rut,h20_d07,max_kl,alarm_rate,0.02664683409716495,0.4943583839387126,660
rut,h20_d07,max_kl,alarm_rate_gap_abs,0.07638492772680569,0.04981945291802391,660
rut,h20_d07,max_kl,alarm_rate_gap_signed,0.02664683409716495,0.4943583839387126,660
rut,h20_d07,n_high_drift,auc,-0.16506135691869034,8.08574771031537e-05,565
