stress_def,model,metric,std,ci_low,ci_high,n_folds_valid
h5_d03,LogisticRegressionL2,alarm_rate,0.07274805217527444,0.03588722086190976,0.10444440662769795,18
h5_d03,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,22
h5_d03,VIXPercentileCalibrated,alarm_rate,0.11304604264934573,0.0017333391573626843,0.18640186990017818,22
h5_d03,VIXPercentileRaw,alarm_rate,0.1430873178611366,0.0188377566311929,0.2330275899077463,22
h10_d05,HarRvThreshold,alarm_precision,0.14940273676834054,0.07440141261449096,0.18361382138480967,11
h10_d05,LightGbmTuned,alarm_precision,0.3256694736394648,0.0,0.45016831868926,12
h10_d05,LogisticRegressionL2,alarm_precision,0.18221690919598182,0.047163748572780766,0.277460409513616,14
h10_d05,NaiveBaseRate,alarm_precision,,,,0
h10_d05,VIXPercentileCalibrated,alarm_precision,0.11666441621738033,0.0,0.1428841454361303,5
h10_d05,VIXPercentileRaw,alarm_precision,0.08612969686939749,0.02108185106778917,0.12262360475416864,10
h20_d07,HarRvThreshold,alarm_precision,0.12452436359799483,0.08135689612076222,0.14388314725935897,11
h20_d07,LightGbmTuned,alarm_precision,0.3737463236986136,0.0,0.5345224838248487,7
h20_d07,LogisticRegressionL2,alarm_precision,0.09361573533249484,0.011557711927941266,0.12223370010384797,11
h20_d07,NaiveBaseRate,alarm_precision,,,,0
h20_d07,VIXPercentileCalibrated,alarm_precision,0.10144927536231885,0.0,0.1171435328790545,4
h20_d07,VIXPercentileRaw,alarm_precision,0.059525226544345944,0.0,0.09092628546628663,10
h5_d03,HarRvThreshold,alarm_precision,0.13945863164274522,0.08851873495237926,0.16604320700953745,11
h5_d03,LightGbmTuned,alarm_precision,0.30782272518108617,0.05143011406743062,0.4666547710920989,10
h5_d03,LogisticRegressionL2,alarm_precision,0.1689564412569084,0.10075971095090086,0.20232494624540406,11
h5_d03,NaiveBaseRate,alarm_precision,,,,0
h5_d03,VIXPercentileCalibrated,alarm_precision,0.17164179104477612,0.0,0.19819486852778195,4
h5_d03,VIXPercentileRaw,alarm_precision,0.14879699897859677,0.09530494038453209,0.17303407757744063,10
h10_d05,HarRvThreshold,drawdown_lift,0.4814771903880011,0.22726626520909243,0.6522436340332984,11
h10_d05,LightGbmTuned,drawdown_lift,0.9235536727602657,0.42711111538968516,1.164897111153415,12
h10_d05,LogisticRegressionL2,drawdown_lift,0.7436316231993367,0.34136807843106765,0.9549399353358117,14
h10_d05,NaiveBaseRate,drawdown_lift,,,,0
h10_d05,VIXPercentileCalibrated,drawdown_lift,0.4494829555549511,0.06730326980761452,0.5226799943765837,5
h10_d05,VIXPercentileRaw,drawdown_lift,0.2600731289224488,0.13273976586354097,0.33686234289683703,10
h20_d07,HarRvThreshold,drawdown_lift,0.41469732578530516,0.2151238649814182,0.5568902406509659,11
h20_d07,LightGbmTuned,drawdown_lift,1.0932679126643248,0.19780660649963455,1.5150657472326898,7
h20_d07,LogisticRegressionL2,drawdown_lift,0.41531201493265046,0.21654917871132975,0.5247307111347617,11
h20_d07,NaiveBaseRate,drawdown_lift,,,,0
h20_d07,VIXPercentileCalibrated,drawdown_lift,0.3844784447938891,0.07282720707430024,0.46730171473624704,4
h20_d07,VIXPercentileRaw,drawdown_lift,0.21817044554376824,0.09387609449699676,0.27176170038100034,10
h5_d03,HarRvThreshold,drawdown_lift,0.3029722506959821,0.19470098082701082,0.3703795204884221,11
h5_d03,LightGbmTuned,drawdown_lift,2.0273973366612488,0.4188517891898385,2.587936169814692,10
h5_d03,LogisticRegressionL2,drawdown_lift,0.8117967636710367,0.4792631207524193,1.0491768159276769,11
h5_d03,NaiveBaseRate,drawdown_lift,,,,0
h5_d03,VIXPercentileCalibrated,drawdown_lift,1.990871245269675,0.08673005604244821,2.409224761318744,4
h5_d03,VIXPercentileRaw,drawdown_lift,0.30825666755261477,0.15592352639691429,0.3796005688751025,10
h10_d05,HarRvThreshold,severity_lift,0.15268370591492872,0.05182971359144146,0.19895405835339078,5
h10_d05,LightGbmTuned,severity_lift,0.30837886814831056,0.0,0.35001408071906054,3
h10_d05,LogisticRegressionL2,severity_lift,0.06142759073446759,0.008636952621475402,0.07404829758110798,4
h10_d05,NaiveBaseRate,severity_lift,,,,0
h10_d05,VIXPercentileCalibrated,severity_lift,,,,1
h10_d05,VIXPercentileRaw,severity_lift,0.24000543970626464,0.0,0.2663677399172285,3
h20_d07,HarRvThreshold,severity_lift,0.09049707928210454,0.031636024892323776,0.11873194240683553,5
h20_d07,LightGbmTuned,severity_lift,0.27006455137242313,0.0,0.27006455137242313,2
h20_d07,LogisticRegressionL2,severity_lift,0.16629178020522709,0.03375264311749082,0.19223824846215118,4
h20_d07,NaiveBaseRate,severity_lift,,,,0
h20_d07,VIXPercentileCalibrated,severity_lift,,,,1
h20_d07,VIXPercentileRaw,severity_lift,,,,1
h5_d03,HarRvThreshold,severity_lift,0.14340123832558202,0.06414307317578509,0.1896272608440659,8
h5_d03,LightGbmTuned,severity_lift,0.28929341142720577,0.07552827497849848,0.37491579235800926,5
h5_d03,LogisticRegressionL2,severity_lift,0.2695808206622473,0.05139993868027323,0.372351056218926,7
h5_d03,NaiveBaseRate,severity_lift,,,,0
h5_d03,VIXPercentileCalibrated,severity_lift,,,,1
h5_d03,VIXPercentileRaw,severity_lift,0.13241249038504987,0.056097749324361054,0.1631969719980618,6
